,Class,Name,PA,R,HR,RBI,SB,OBP,IP,QS,SV,SO,ERA,WHIP,Total_SGPs,Dollar_Value,True_Dollar_Value,Keeper,Salary
171,Hitter,Kyle Tucker,409,56,20,59,14,0.315,x,x,x,x,x,x,7.840619566,10.81237807,11.06927127,,
172,Hitter,Kevin Newman,577,63,9,54,18,0.329,x,x,x,x,x,x,7.826713353,10.79320111,11.03937484,,
173,Pitcher,Brandon Woodruff,x,x,x,x,x,x,183,18,0,201,4.07,1.28,7.800304395,10.77842335,11.01633666,,
174,Hitter,Nomar Mazara,523,66,25,77,3,0.318,x,x,x,x,x,x,7.77714689,10.72484792,10.93281383,,
175,Hitter,Hunter Renfroe,560,69,30,82,4,0.293,x,x,x,x,x,x,7.771559914,10.71714337,10.9208026,,
176,Hitter,Kyle Seager,593,69,26,78,3,0.312,x,x,x,x,x,x,7.73624522,10.66844367,10.84488091,,
177,Hitter,Jesse Winker,482,62,17,57,3,0.368,x,x,x,x,x,x,7.701206078,10.62012396,10.76955162,TRUE,4
178,Pitcher,Zack Wheeler,x,x,x,x,x,x,189,16.5,0,194,4.13,1.23,7.667497369,10.59491124,10.73024558,,
179,Hitter,Willy Adames,595,67,18,69,7,0.326,x,x,x,x,x,x,7.68046236,10.59151794,10.72495551,TRUE,3
180,Hitter,Brett Gardner,509,67,17,57,10,0.327,x,x,x,x,x,x,7.657258027,10.55951868,10.67506941,,
181,Pitcher,German Marquez,x,x,x,x,x,x,187,18,0,194,4.18,1.26,7.622613916,10.5328915,10.63355826,TRUE,14
182,Hitter,Scott Kingery,605,65,19,69,15,0.294,x,x,x,x,x,x,7.618227851,10.50569525,10.59115995,TRUE,12
183,Pitcher,Eduardo Rodriguez,x,x,x,x,x,x,193,19.5,0,201,4.2,1.31,7.593432935,10.49256936,10.57069699,,
184,Hitter,Brandon Nimmo,509,63,15,50,7,0.358,x,x,x,x,x,x,7.603871992,10.48589822,10.56029685,TRUE,9
185,Hitter,Anthony Santander,582,68,24,78,5,0.306,x,x,x,x,x,x,7.598176349,10.47804381,10.54805201,,
186,Hitter,Avisail Garcia,502,61,21,70,6,0.324,x,x,x,x,x,x,7.580256706,10.45333225,10.50952726,TRUE,11
187,Hitter,Dexter Fowler,555,64,17,58,8,0.336,x,x,x,x,x,x,7.563129437,10.42971339,10.47270601,,
188,Hitter,Todd Frazier,488,61,22,66,4,0.331,x,x,x,x,x,x,7.460692737,10.28845104,10.25248132,TRUE,2
189,Hitter,Michael Chavis,534,67,24,74,3,0.313,x,x,x,x,x,x,7.44028931,10.26031429,10.20861679,TRUE,1
190,Hitter,Miguel Andujar,531,67,23,77,3,0.312,x,x,x,x,x,x,7.434163777,10.25186705,10.19544774,,
191,Hitter,Luis Arraez,544,65,6,57,6,0.369,x,x,x,x,x,x,7.421334058,10.2341746,10.16786563,,
192,Pitcher,Robbie Ray,x,x,x,x,x,x,174,16.5,0,214,4.13,1.32,7.385971856,10.20590063,7.231276548,,
193,Hitter,Jonathan Schoop,557,67,26,79,2,0.306,x,x,x,x,x,x,7.38869147,10.18915979,7.212634709,,
194,Pitcher,Dinelson Lamet,x,x,x,x,x,x,144,13.5,0,182,3.75,1.22,7.371795999,10.1863125,7.209464093,,
195,Hitter,Mike Yastrzemski,619,71,19,64,7,0.316,x,x,x,x,x,x,7.359385526,10.14874628,7.167632057,,
196,Hitter,Ian Happ,457,57,20,59,7,0.332,x,x,x,x,x,x,7.313798559,10.0858809,7.097628021,,
197,Hitter,J.P. Crawford,638,71,14,61,8,0.325,x,x,x,x,x,x,7.27361324,10.03046451,7.035918837,,
198,Pitcher,Sonny Gray,x,x,x,x,x,x,175,16.5,0,191,3.94,1.31,7.256401381,10.02686077,7.031905873,TRUE,6
199,Pitcher,Matthew Boyd,x,x,x,x,x,x,183,15,0,201,4.34,1.22,7.255950302,10.02623747,7.031211795,,
200,Hitter,Robinson Cano,565,67,20,74,1,0.327,x,x,x,x,x,x,7.246454051,9.993011421,6.994212775,TRUE,7
201,Hitter,Jurickson Profar,529,59,18,63,7,0.327,x,x,x,x,x,x,7.184374588,9.907402545,6.898882612,,
202,Hitter,Ji-Man Choi,471,59,18,60,3,0.347,x,x,x,x,x,x,7.130202966,9.832698747,6.815695849,TRUE,2
203,Hitter,Alex Verdugo,496,60,15,62,5,0.342,x,x,x,x,x,x,7.123982857,9.824121087,6.806144155,TRUE,1
204,Pitcher,Corey Kluber,x,x,x,x,x,x,187,16.5,0,188,4.23,1.26,7.105369181,9.818165194,6.799511943,,
205,Hitter,Corey Dickerson,563,65,20,69,4,0.317,x,x,x,x,x,x,7.050917894,9.723362977,6.693944491,,
206,Pitcher,Edwin Diaz,x,x,x,x,x,x,65,0,31,98,2.9,1.05,7.032465848,9.717427717,6.687335255,,
207,Hitter,Salvador Perez,550,66,27,82,2,0.291,x,x,x,x,x,x,7.045676976,9.716135642,6.685896459,,
208,Hitter,J.D. Davis,486,59,21,65,3,0.329,x,x,x,x,x,x,7.04450091,9.714513823,6.684090474,,
209,Hitter,Tommy Edman,495,57,11,51,15,0.322,x,x,x,x,x,x,7.027441209,9.690988139,6.657893339,,
210,Pitcher,Jose Berrios,x,x,x,x,x,x,198,19.5,0,190,4.49,1.29,6.990055735,9.658825624,6.622078621,,
211,Pitcher,Frankie Montas,x,x,x,x,x,x,186,18,0,176,4.17,1.29,6.983783284,9.650158382,6.612427173,,
212,Pitcher,Aroldis Chapman,x,x,x,x,x,x,65,0,34,94,3.01,1.12,6.980841434,9.646093348,6.607900534,,
213,Hitter,Jason Heyward,507,59,14,58,6,0.342,x,x,x,x,x,x,6.98713465,9.635404552,6.595997976,,
214,Hitter,Adam Frazier,568,66,10,54,7,0.341,x,x,x,x,x,x,6.908460388,9.526911103,6.475184589,,
215,Pitcher,Josh Hader,x,x,x,x,x,x,65,0,28,106,2.95,1.04,6.876904644,9.502473987,6.447972525,,
216,Hitter,Evan Longoria,572,64,21,74,3,0.31,x,x,x,x,x,x,6.882278579,9.490805842,6.434979408,,
217,Hitter,Nick Madrigal,440,50,5,44,18,0.337,x,x,x,x,x,x,6.81903156,9.403586882,6.337856326,,
218,Hitter,Shed Long,550,62,16,58,10,0.311,x,x,x,x,x,x,6.815858276,9.399210857,6.332983384,,
219,Hitter,Teoscar Hernandez,475,58,22,62,7,0.302,x,x,x,x,x,x,6.746599977,9.303702217,6.226629291,,
