,Class,Name,PA,R,HR,RBI,SB,OBP,IP,QS,SV,SO,ERA,WHIP,Total_SGPs,Dollar_Value,True_Dollar_Value,Keeper,Salary,Inflated_Value
94,Hitter,Jorge Polanco,664,91,19,82,7,0.344,x,x,x,x,x,x,9.987769034,13.77334201,15.68534459,,,19.500399353647833
95,Hitter,Michael Brantley,621,85,21,87,5,0.349,x,x,x,x,x,x,9.983032921,13.76681081,15.675162599999998,True,18.0,19.487740857682024
96,Hitter,Trey Mancini,657,86,30,90,1,0.338,x,x,x,x,x,x,9.953368933,13.72590356,15.61138915,,,19.40845616386964
97,Hitter,Ramon Laureano,597,76,23,79,14,0.327,x,x,x,x,x,x,9.923696977,13.68498531,15.54759856,,,19.32915016119515
98,Hitter,Justin Upton,624,81,30,91,5,0.325,x,x,x,x,x,x,9.841070274,13.57104136,15.36996262,,,19.108308868886596
99,Hitter,DJ LeMahieu,683,93,19,74,7,0.345,x,x,x,x,x,x,9.824716031,13.54848852,15.33480326,,,19.06459790308124
100,Hitter,Eloy Jimenez,590,80,33,95,1,0.329,x,x,x,x,x,x,9.815636666,13.53596788,15.31528389,,,19.040330950707478
101,Pitcher,Patrick Corbin,x,x,x,x,x,x,192,19.5,0,217,3.57,1.23,9.75634362,13.48126901,15.23000963,,,16.245602661130963
102,Hitter,Nicholas Castellanos,661,88,27,90,3,0.331,x,x,x,x,x,x,9.773113345,13.47732734,15.22386465,,,18.926676342842278
103,Hitter,Paul DeJong,642,79,29,89,7,0.322,x,x,x,x,x,x,9.743806483,13.43691256,15.16085897,,,18.848346159243285
104,Hitter,Joc Pederson,502,77,32,75,3,0.346,x,x,x,x,x,x,9.70966845,13.3898355,15.08746693,,,18.757103401956886
105,Hitter,Elvis Andrus,666,77,14,74,22,0.318,x,x,x,x,x,x,9.707368958,13.38666445,15.08252335,,,18.750957423863543
106,Hitter,Corey Seager,635,85,24,84,2,0.348,x,x,x,x,x,x,9.682166647,13.35190994,15.02834188,,,18.683597711330272
107,Hitter,Yuli Gurriel,620,81,24,93,5,0.332,x,x,x,x,x,x,9.650445901,13.30816637,14.96014667,,,18.598815778655762
108,Hitter,Oscar Mercado,617,77,16,67,23,0.313,x,x,x,x,x,x,9.629502303999999,13.27928471,14.91512085,,,18.542838591403832
109,Hitter,Bryan Reynolds,658,83,19,74,7,0.351,x,x,x,x,x,x,9.621767426,13.26861815,14.89849194,,,18.522165128735846
110,Hitter,Cavan Biggio,592,76,20,66,12,0.345,x,x,x,x,x,x,9.548031157999999,13.1669343,14.73996919,,,18.325085816011708
111,Hitter,Jean Segura,673,85,16,71,13,0.334,x,x,x,x,x,x,9.492947425,13.09097268,14.62154681,,,18.177860252100178
112,Hitter,Tim Anderson,638,78,21,79,17,0.308,x,x,x,x,x,x,9.488878888,13.08536209,14.61280002,True,4.0,18.166986031448932
113,Hitter,Yasiel Puig,514,64,23,75,13,0.335,x,x,x,x,x,x,9.416717978,12.98585068,14.45766408,,,17.974117282742434
114,Pitcher,Yu Darvish,x,x,x,x,x,x,185,18,0,221,3.87,1.19,9.345734542999999,12.91389135,14.34548117,,,15.302090591689018
115,Pitcher,Aaron Nola,x,x,x,x,x,x,198,19.5,0,221,3.82,1.24,9.335028817000001,12.89909823,14.32241904,,,15.277490594078946
116,Hitter,David Dahl,578,75,23,79,9,0.331,x,x,x,x,x,x,9.323187835,12.85687066,14.25658726,,,17.72413372208407
117,Hitter,Mark Canha,594,77,25,80,4,0.342,x,x,x,x,x,x,9.313288516,12.843219300000001,14.235305100000001,,,17.69767522659314
118,Hitter,Yasmani Grandal,544,74,25,73,3,0.358,x,x,x,x,x,x,9.307574998,12.83534024,14.22302183,,,17.682404368564214
119,Pitcher,Trevor Bauer,x,x,x,x,x,x,200,18,0,238,3.93,1.24,9.221517334,12.742248599999998,14.07789415,,,15.016659885484264
120,Hitter,Ryan Braun,532,69,25,80,9,0.329,x,x,x,x,x,x,9.228646413,12.72649607,14.05333632,,,17.47144724291477
121,Hitter,Rougned Odor,573,71,28,79,13,0.302,x,x,x,x,x,x,9.135593839,12.59817463,13.85328621,,,17.222740112933817
122,Hitter,Nick Senzel,597,74,18,63,17,0.323,x,x,x,x,x,x,9.071442317,12.50970834,13.71536934,,,17.051278528065627
123,Hitter,Amed Rosario,625,69,15,68,20,0.318,x,x,x,x,x,x,8.984720835,12.39011761,13.52893019,True,1.0,16.819492872398712
124,Pitcher,Carlos Carrasco,x,x,x,x,x,x,173,18,0,189,3.81,1.17,8.839075781,12.21379269,13.25404379,,,14.137872154816908
125,Hitter,Lourdes Gurriel Jr.,591,74,27,84,8,0.307,x,x,x,x,x,x,8.798505843,12.13332324,13.12859381,,,16.321785012619156
126,Hitter,David Peralta,605,77,22,77,3,0.342,x,x,x,x,x,x,8.793896634,12.12696705,13.11868464,,,16.309465693068702
127,Hitter,Brandon Lowe,611,75,25,78,7,0.321,x,x,x,x,x,x,8.790661371,12.12250555,13.11172928,,,16.30081862147457
128,Hitter,Jackie Bradley Jr.,576,73,20,72,11,0.325,x,x,x,x,x,x,8.777643901,12.10455419,13.08374352,,,16.26602604850405
129,Pitcher,Luis Castillo,x,x,x,x,x,x,190,18,0,215,3.85,1.25,8.745442798,12.08441108,13.05234089,,,13.922718963938863
130,Pitcher,Noah Syndergaard,x,x,x,x,x,x,195,18,0,200,3.89,1.21,8.704117972999999,12.02730864,12.96331952,,,13.827761321724324
131,Hitter,Brian Anderson,651,75,21,75,5,0.339,x,x,x,x,x,x,8.720038537999999,12.02511519,12.95989999,,,16.112060779937035
132,Hitter,Kolten Wong,577,62,12,61,16,0.347,x,x,x,x,x,x,8.672561308999999,11.9596431,12.85783054,,,15.98516557368979
133,Hitter,Eduardo Escobar,651,79,25,86,4,0.317,x,x,x,x,x,x,8.639675197999999,11.91429247,12.78712997,,,15.897268916933552
134,Hitter,Aristides Aquino,552,68,32,87,7,0.295,x,x,x,x,x,x,8.609720268,11.87298399,12.72273102,True,1.0,15.817206586409029
135,Hitter,Eric Hosmer,642,76,24,82,3,0.327,x,x,x,x,x,x,8.533487052,11.7678568,12.55884019,,,15.613453546935588
136,Pitcher,David Price,x,x,x,x,x,x,164,18,0,175,3.69,1.19,8.508027314,11.7563515,12.5409037,True,12.0,13.377177261949448
137,Pitcher,Tyler Glasnow,x,x,x,x,x,x,163,16.5,0,202,3.69,1.23,8.503322695,11.74985068,12.53076908,True,8.0,13.366366828230667
138,Hitter,Willie Calhoun,549,71,25,79,2,0.335,x,x,x,x,x,x,8.478927224,11.69261766,12.44154413,True,2.0,15.467628251260052
139,Hitter,Danny Santana,579,69,20,70,18,0.295,x,x,x,x,x,x,8.445865422,11.64702474,12.37046585,True,2.0,15.379262016306306
140,Hitter,Brandon Belt,566,69,18,64,5,0.358,x,x,x,x,x,x,8.439816643,11.63868335,12.35746181,True,2.0,15.36309507959951
141,Hitter,J.T. Realmuto,537,69,23,75,6,0.329,x,x,x,x,x,x,8.433798675,11.63038444,12.34452402,,,15.34701050649332
142,Hitter,Matt Carpenter,540,72,21,59,5,0.352,x,x,x,x,x,x,8.418043602000001,11.60865787,12.3106528,,,15.304900987457547
143,Hitter,Gregory Polanco,556,67,22,71,9,0.325,x,x,x,x,x,x,8.387672995,11.56677617,12.24536021,,,15.2237276620946
144,Hitter,Miguel Cabrera,603,71,20,77,1,0.35,x,x,x,x,x,x,8.367691574,11.53922137,12.20240293,,,15.170322133746788
145,Hitter,Gary Sanchez,459,66,31,78,1,0.324,x,x,x,x,x,x,8.311521622999999,11.46176184,12.08164533,,,15.020193367912128
146,Hitter,Christian Walker,566,68,24,78,5,0.325,x,x,x,x,x,x,8.29503278,11.43902338,12.0461966,,,14.976122650331568
147,Hitter,C.J. Cron,530,68,28,79,2,0.324,x,x,x,x,x,x,8.255088788,11.38393978,11.96032257,,,14.869361981511151
