,Class,Name,PA,R,HR,RBI,SB,OBP,IP,QS,SV,SO,ERA,WHIP,Total_SGPs
186,Hitter,Avisail Garcia,502.0,61.0,21.0,70.0,6.0,0.324,x,x,x,x,x,x,7.580256705526667
187,Hitter,Dexter Fowler,555.0,64.0,17.0,58.0,8.0,0.336,x,x,x,x,x,x,7.563129437341121
188,Hitter,Todd Frazier,488.0,61.0,22.0,66.0,4.0,0.331,x,x,x,x,x,x,7.460692736546236
189,Hitter,Michael Chavis,534.0,67.0,24.0,74.0,3.0,0.313,x,x,x,x,x,x,7.440289310332769
190,Hitter,Miguel Andujar,531.0,67.0,23.0,77.0,3.0,0.312,x,x,x,x,x,x,7.434163776747299
191,Hitter,Luis Arraez,544.0,65.0,6.0,57.0,6.0,0.369,x,x,x,x,x,x,7.421334057848285
192,Hitter,Jonathan Schoop,557.0,67.0,26.0,79.0,2.0,0.306,x,x,x,x,x,x,7.388691470029519
193,Pitcher,Robbie Ray,x,x,x,x,x,x,174.0,16.5,0.0,214.0,4.13,1.32,7.385971855969956
194,Pitcher,Dinelson Lamet,x,x,x,x,x,x,144.0,13.5,0.0,182.0,3.75,1.22,7.371795998805002
195,Hitter,Mike Yastrzemski,619.0,71.0,19.0,64.0,7.0,0.316,x,x,x,x,x,x,7.35938552552331
196,Hitter,Ian Happ,457.0,57.0,20.0,59.0,7.0,0.332,x,x,x,x,x,x,7.313798559220604
197,Hitter,J.P. Crawford,638.0,71.0,14.0,61.0,8.0,0.325,x,x,x,x,x,x,7.273613240380849
198,Pitcher,Sonny Gray,x,x,x,x,x,x,175.0,16.5,0.0,191.0,3.94,1.31,7.2564013813139505
199,Pitcher,Matthew Boyd,x,x,x,x,x,x,183.0,15.0,0.0,201.0,4.34,1.22,7.255950302182136
200,Hitter,Robinson Cano,565.0,67.0,20.0,74.0,1.0,0.327,x,x,x,x,x,x,7.246454051339013
201,Hitter,Jurickson Profar,529.0,59.0,18.0,63.0,7.0,0.327,x,x,x,x,x,x,7.18437458821756
202,Hitter,Ji-Man Choi,471.0,59.0,18.0,60.0,3.0,0.34700000000000003,x,x,x,x,x,x,7.130202965909627
203,Hitter,Alex Verdugo,496.0,60.0,15.0,62.0,5.0,0.342,x,x,x,x,x,x,7.123982856691145
204,Pitcher,Corey Kluber,x,x,x,x,x,x,187.0,16.5,0.0,188.0,4.23,1.26,7.105369181260326
205,Hitter,Corey Dickerson,563.0,65.0,20.0,69.0,4.0,0.317,x,x,x,x,x,x,7.050917893546619
206,Hitter,Salvador Perez,550.0,66.0,27.0,82.0,2.0,0.29100000000000004,x,x,x,x,x,x,7.0456769758656455
207,Hitter,J.D. Davis,486.0,59.0,21.0,65.0,3.0,0.32899999999999996,x,x,x,x,x,x,7.044500909847101
208,Pitcher,Edwin Diaz,x,x,x,x,x,x,65.0,0.0,31.0,98.0,2.9,1.05,7.0324658481614915
209,Hitter,Tommy Edman,495.0,57.0,11.0,51.0,15.0,0.322,x,x,x,x,x,x,7.027441208683476
210,Pitcher,Jose Berrios,x,x,x,x,x,x,198.0,19.5,0.0,190.0,4.49,1.29,6.990055734538419
211,Hitter,Jason Heyward,507.0,59.0,14.0,58.0,6.0,0.342,x,x,x,x,x,x,6.9871346495790485
212,Pitcher,Frankie Montas,x,x,x,x,x,x,186.0,18.0,0.0,176.0,4.17,1.29,6.983783283915563
213,Pitcher,Aroldis Chapman,x,x,x,x,x,x,65.0,0.0,34.0,94.0,3.01,1.12,6.980841433689794
214,Hitter,Adam Frazier,568.0,66.0,10.0,54.0,7.0,0.341,x,x,x,x,x,x,6.908460388193692
215,Hitter,Evan Longoria,572.0,64.0,21.0,74.0,3.0,0.31,x,x,x,x,x,x,6.882278579447085
216,Pitcher,Josh Hader,x,x,x,x,x,x,65.0,0.0,28.0,106.0,2.95,1.04,6.876904643579911
217,Hitter,Nick Madrigal,440.0,50.0,5.0,44.0,18.0,0.337,x,x,x,x,x,x,6.819031559572016
218,Hitter,Shed Long,550.0,62.0,16.0,58.0,10.0,0.311,x,x,x,x,x,x,6.815858275936423
219,Hitter,Teoscar Hernandez,475.0,58.0,22.0,62.0,7.0,0.302,x,x,x,x,x,x,6.746599976648904
220,Hitter,Albert Pujols,513.0,62.0,22.0,73.0,2.0,0.308,x,x,x,x,x,x,6.73388496525615
221,Pitcher,Chris Archer,x,x,x,x,x,x,180.0,15.0,0.0,196.0,4.19,1.3,6.732715820649056
222,Pitcher,Mike Soroka,x,x,x,x,x,x,189.0,18.0,0.0,165.0,4.12,1.3,6.730858911036829
223,Hitter,Isan Diaz,572.0,61.0,19.0,61.0,7.0,0.312,x,x,x,x,x,x,6.7277759804431705
224,Hitter,JaCoby Jones,552.0,62.0,16.0,58.0,12.0,0.299,x,x,x,x,x,x,6.685175150884564
225,Hitter,A.J. Pollock,449.0,57.0,18.0,59.0,7.0,0.316,x,x,x,x,x,x,6.684461103547961
