,Class,Name,PA,R,HR,RBI,SB,OBP,IP,QS,SV,SO,ERA,WHIP,Total_SGPs
16,Hitter,Nolan Arenado,657.0,100.0,40.0,114.0,3.0,0.371,x,x,x,x,x,x,13.967811110257568
17,Hitter,Freddie Freeman,662.0,98.0,33.0,103.0,6.0,0.385,x,x,x,x,x,x,13.849841551889021
18,Pitcher,Max Scherzer,x,x,x,x,x,x,202.0,22.5,0.0,268.0,3.28,1.04,13.80861013013268
19,Pitcher,Justin Verlander,x,x,x,x,x,x,204.0,24.0,0.0,266.0,3.46,1.04,13.759256371469652
20,Hitter,George Springer,687.0,112.0,35.0,91.0,8.0,0.365,x,x,x,x,x,x,13.699255004981445
21,Hitter,Anthony Rizzo,660.0,97.0,32.0,99.0,6.0,0.38799999999999996,x,x,x,x,x,x,13.683762699859484
22,Hitter,Josh Donaldson,644.0,100.0,36.0,103.0,4.0,0.379,x,x,x,x,x,x,13.633914214140496
23,Pitcher,Jacob deGrom,x,x,x,x,x,x,205.0,21.0,0.0,258.0,3.13,1.06,13.42313836818834
24,Hitter,Adalberto Mondesi,649.0,82.0,20.0,76.0,49.0,0.293,x,x,x,x,x,x,13.398905144264063
25,Hitter,Nelson Cruz,641.0,97.0,40.0,114.0,1.0,0.363,x,x,x,x,x,x,13.206795282542984
26,Hitter,Joey Gallo,616.0,90.0,43.0,101.0,8.0,0.349,x,x,x,x,x,x,13.112132189508984
27,Hitter,Yordan Alvarez,602.0,93.0,39.0,107.0,3.0,0.366,x,x,x,x,x,x,13.021315595179935
28,Hitter,Fernando Tatis Jr.,671.0,93.0,31.0,82.0,23.0,0.33299999999999996,x,x,x,x,x,x,12.973844126612649
29,Hitter,Rafael Devers,636.0,95.0,32.0,103.0,9.0,0.355,x,x,x,x,x,x,12.812234123695374
30,Hitter,Tommy Pham,652.0,92.0,25.0,76.0,18.0,0.366,x,x,x,x,x,x,12.785291421130466
31,Hitter,Kris Bryant,669.0,100.0,31.0,91.0,4.0,0.377,x,x,x,x,x,x,12.715603741697425
32,Hitter,Jose Altuve,673.0,100.0,24.0,93.0,12.0,0.361,x,x,x,x,x,x,12.65266821245084
33,Hitter,Peter Alonso,663.0,98.0,44.0,105.0,2.0,0.34299999999999997,x,x,x,x,x,x,12.631781881462107
34,Pitcher,Chris Sale,x,x,x,x,x,x,177.0,21.0,0.0,233.0,3.22,1.03,12.539905350898817
35,Hitter,Rhys Hoskins,656.0,93.0,36.0,96.0,4.0,0.365,x,x,x,x,x,x,12.532399455867544
36,Hitter,Manny Machado,664.0,93.0,37.0,102.0,7.0,0.34299999999999997,x,x,x,x,x,x,12.389125943882613
37,Hitter,Starling Marte,649.0,85.0,22.0,81.0,26.0,0.337,x,x,x,x,x,x,12.37678574791746
38,Hitter,Anthony Rendon,655.0,93.0,28.0,99.0,4.0,0.374,x,x,x,x,x,x,12.290491376074472
39,Hitter,Carlos Correa,637.0,93.0,33.0,105.0,3.0,0.359,x,x,x,x,x,x,12.193362097761048
40,Hitter,Paul Goldschmidt,663.0,91.0,31.0,91.0,5.0,0.369,x,x,x,x,x,x,12.128043218670275
41,Hitter,Charlie Blackmon,660.0,101.0,30.0,84.0,8.0,0.35600000000000004,x,x,x,x,x,x,12.106472587339947
42,Hitter,Carlos Santana,654.0,92.0,29.0,93.0,3.0,0.375,x,x,x,x,x,x,12.007922579061066
43,Hitter,Xander Bogaerts,649.0,92.0,25.0,96.0,6.0,0.368,x,x,x,x,x,x,11.899797872267838
44,Hitter,Shohei Ohtani,555.0,80.0,29.0,89.0,13.0,0.353,x,x,x,x,x,x,11.78725498605616
45,Hitter,Bo Bichette,663.0,92.0,22.0,74.0,24.0,0.32799999999999996,x,x,x,x,x,x,11.768331623004205
46,Hitter,Kyle Schwarber,585.0,86.0,37.0,90.0,5.0,0.354,x,x,x,x,x,x,11.72480379392768
47,Hitter,Matt Olson,642.0,91.0,38.0,103.0,1.0,0.344,x,x,x,x,x,x,11.607333335992523
48,Hitter,Marcus Semien,678.0,98.0,25.0,79.0,12.0,0.34700000000000003,x,x,x,x,x,x,11.557201886798936
49,Hitter,Austin Meadows,624.0,87.0,28.0,84.0,15.0,0.337,x,x,x,x,x,x,11.54648832420803
50,Hitter,Yoan Moncada,662.0,92.0,28.0,86.0,12.0,0.34,x,x,x,x,x,x,11.532918014511981
51,Hitter,Matt Chapman,656.0,95.0,34.0,97.0,3.0,0.34299999999999997,x,x,x,x,x,x,11.449308953535924
